commission_id,timestamp,partner_account_id,client_account_id,commission_amount,currency
CM_0000001,2022-09-01 01:00:00,P_0097,C_001789,0.8875000000000001,Swiss Franc
CM_0000002,2022-09-01 01:00:00,P_0169,C_000495,117.2135,US Dollar
CM_0000003,2022-09-01 01:01:00,P_0083,C_001851,2832.5685000000003,US Dollar
CM_0000004,2022-09-01 01:02:00,P_0068,C_001016,121.3695,Euro
CM_0000005,2022-09-01 01:02:00,P_0191,C_001073,0.9525,UK Pound
CM_0000006,2022-09-01 01:02:00,P_0037,C_000629,0.1495,Yen
CM_0000007,2022-09-01 01:02:00,P_0119,C_001697,0.7010000000000001,Swiss Franc
CM_0000008,2022-09-01 01:10:00,P_0165,C_000735,0.0055,Rupee
CM_0000009,2022-09-01 01:10:00,P_0172,C_002035,2764.898,Euro
CM_0000010,2022-09-01 01:11:00,P_0094,C_000613,4159.435,Yen
CM_0000011,2022-09-01 01:13:00,P_0048,C_002053,582.669,US Dollar
CM_0000012,2022-09-01 01:15:00,P_0045,C_000540,438.039,US Dollar
CM_0000013,2022-09-01 01:16:00,P_0001,C_001942,835.4275,Saudi Riyal
CM_0000014,2022-09-01 01:22:00,P_0022,C_001843,0.475,Euro
CM_0000015,2022-09-01 01:23:00,P_0190,C_000501,43.9895,US Dollar
CM_0000016,2022-09-01 01:26:00,P_0054,C_000238,238.665,US Dollar
CM_0000017,2022-09-01 01:29:00,P_0128,C_001365,0.6355000000000001,Australian Dollar
CM_0000018,2022-09-01 01:43:00,P_0173,C_000502,628.134,Swiss Franc
CM_0000019,2022-09-01 04:14:00,P_0035,C_000817,3174.3155,US Dollar
CM_0000020,2022-09-01 04:59:00,P_0060,C_001339,2.9115,Yuan
CM_0000021,2022-09-01 05:04:00,P_0093,C_001454,0.3735,US Dollar
CM_0000022,2022-09-01 06:15:00,P_0106,C_000165,33.881,Euro
CM_0000023,2022-09-01 06:42:00,P_0039,C_001683,0.8720000000000001,Swiss Franc
CM_0000024,2022-09-01 07:23:00,P_0178,C_002073,2267.306,Saudi Riyal
CM_0000025,2022-09-01 07:38:00,P_0092,C_001329,78.292,US Dollar
CM_0000026,2022-09-01 08:04:00,P_0087,C_000419,4960.653,Euro
CM_0000027,2022-09-01 08:15:00,P_0173,C_000313,523.7675,Swiss Franc
CM_0000028,2022-09-01 08:20:00,P_0010,C_000531,571.5020000000001,US Dollar
CM_0000029,2022-09-01 08:53:00,P_0164,C_000916,3260.673,US Dollar
CM_0000030,2022-09-01 09:03:00,P_0124,C_000358,189.7745,Euro
CM_0000031,2022-09-01 09:07:00,P_0124,C_000352,63.02100000000001,Euro
CM_0000032,2022-09-01 09:09:00,P_0124,C_000369,6.6925,Euro
CM_0000033,2022-09-01 09:10:00,P_0124,C_000365,54.7555,Euro
CM_0000034,2022-09-01 09:19:00,P_0124,C_000360,50.096,Euro
CM_0000035,2022-09-01 09:21:00,P_0124,C_000357,10.839,Euro
CM_0000036,2022-09-01 09:21:00,P_0127,C_000024,417.037,US Dollar
CM_0000037,2022-09-01 09:23:00,P_0124,C_000362,16.4975,Euro
CM_0000038,2022-09-01 09:24:00,P_0124,C_000366,195.7025,Euro
CM_0000039,2022-09-01 09:25:00,P_0124,C_000373,124.224,Euro
CM_0000040,2022-09-01 09:40:00,P_0092,C_000959,77.2685,US Dollar
CM_0000041,2022-09-01 10:02:00,P_0079,C_001627,145.4605,US Dollar
CM_0000042,2022-09-01 10:03:00,P_0079,C_001628,65.687,US Dollar
CM_0000043,2022-09-01 10:08:00,P_0079,C_001626,218.3915,US Dollar
CM_0000044,2022-09-01 10:11:00,P_0079,C_001623,202.3455,US Dollar
CM_0000045,2022-09-01 10:14:00,P_0079,C_001624,184.842,US Dollar
CM_0000046,2022-09-01 10:14:00,P_0079,C_001625,145.61,US Dollar
CM_0000047,2022-09-01 10:18:00,P_0079,C_001621,136.119,US Dollar
CM_0000048,2022-09-01 10:18:00,P_0079,C_001622,245.658,US Dollar
CM_0000049,2022-09-01 10:20:00,P_0049,C_000953,0.2895,Euro
CM_0000050,2022-09-01 10:31:00,P_0092,C_001405,383.9215,US Dollar
CM_0000051,2022-09-01 10:31:00,P_0168,C_001178,0.001,Yen
CM_0000052,2022-09-01 10:54:00,P_0055,C_000148,2.166,Yuan
CM_0000053,2022-09-01 11:03:00,P_0115,C_001121,75.928,US Dollar
CM_0000054,2022-09-01 11:04:00,P_0126,C_000027,114.7785,Euro
CM_0000055,2022-09-01 11:12:00,P_0115,C_001119,89.956,US Dollar
CM_0000056,2022-09-01 11:23:00,P_0126,C_000027,208.9265,Euro
CM_0000057,2022-09-01 11:24:00,P_0115,C_001123,44.6895,US Dollar
CM_0000058,2022-09-01 11:24:00,P_0115,C_001122,220.617,US Dollar
CM_0000059,2022-09-01 11:25:00,P_0115,C_001116,84.8435,US Dollar
CM_0000060,2022-09-01 11:28:00,P_0115,C_001120,70.09700000000001,US Dollar
CM_0000061,2022-09-01 11:29:00,P_0115,C_001118,189.5045,US Dollar
CM_0000062,2022-09-01 11:30:00,P_0118,C_000756,104.252,US Dollar
CM_0000063,2022-09-01 11:34:00,P_0051,C_000839,0.249,US Dollar
CM_0000064,2022-09-01 11:38:00,P_0118,C_000762,31.856,US Dollar
CM_0000065,2022-09-01 11:46:00,P_0118,C_000759,37.063,US Dollar
CM_0000066,2022-09-01 11:48:00,P_0118,C_000754,121.501,US Dollar
CM_0000067,2022-09-01 11:50:00,P_0118,C_000755,114.26300000000002,US Dollar
CM_0000068,2022-09-01 11:50:00,P_0118,C_000760,87.8395,US Dollar
CM_0000069,2022-09-01 11:54:00,P_0118,C_000758,221.516,US Dollar
CM_0000070,2022-09-01 11:54:00,P_0118,C_000761,36.1555,US Dollar
CM_0000071,2022-09-01 12:00:00,P_0170,C_000740,1039.9305000000002,Rupee
CM_0000072,2022-09-01 12:00:00,P_0037,C_000634,21108.469,Yen
CM_0000073,2022-09-01 12:04:00,P_0037,C_000630,5789.4185,Yen
CM_0000074,2022-09-01 12:05:00,P_0145,C_001522,219.45050000000003,UK Pound
CM_0000075,2022-09-01 12:16:00,P_0037,C_000632,21596.743,Yen
