trade_id,timestamp,client_account_id,instrument,direction,trade_volume,is_opposite_trade,is_bonus_abuse
T_0000001,2022-09-01 00:00:00,C_001789,AUDCAD,SELL,17.75,False,False
T_0000002,2022-09-01 00:00:00,C_000495,USDJPY,BUY,2344.27,False,False
T_0000003,2022-09-01 00:01:00,C_001851,BTCUSD,BUY,56651.37,True,False
T_0000004,2022-09-01 00:02:00,C_001016,USDJPY,SELL,2427.39,False,False
T_0000005,2022-09-01 00:02:00,C_001073,AUDCAD,BUY,19.05,False,False
T_0000006,2022-09-01 00:02:00,C_000629,US100,BUY,2.99,False,False
T_0000007,2022-09-01 00:02:00,C_001697,AUDCAD,BUY,14.02,False,False
T_0000008,2022-09-01 00:10:00,C_000735,GBPJPY,BUY,0.11,False,False
T_0000009,2022-09-01 00:10:00,C_002035,BTCUSD,SELL,55297.96,False,False
T_0000010,2022-09-01 00:11:00,C_000613,US100,SELL,83188.7,False,False
T_0000011,2022-09-01 00:13:00,C_002053,GBPJPY,BUY,11653.38,False,False
T_0000012,2022-09-01 00:15:00,C_000540,EURUSD,BUY,8760.78,False,False
T_0000013,2022-09-01 00:16:00,C_001942,USDJPY,SELL,16708.55,False,False
T_0000014,2022-09-01 00:22:00,C_001843,GBPJPY,BUY,9.5,False,False
T_0000015,2022-09-01 00:23:00,C_000501,US100,BUY,879.79,False,False
T_0000016,2022-09-01 00:26:00,C_000238,XAUUSD,BUY,4773.3,False,False
T_0000017,2022-09-01 00:29:00,C_001365,XAUUSD,BUY,12.71,False,False
T_0000018,2022-09-01 00:43:00,C_000502,GBPJPY,SELL,12562.68,False,False
T_0000019,2022-09-01 03:14:00,C_000817,AUDCAD,BUY,63486.31,False,False
T_0000020,2022-09-01 03:59:00,C_001339,US100,BUY,58.23,False,False
T_0000021,2022-09-01 04:04:00,C_001454,US100,SELL,7.47,False,False
T_0000022,2022-09-01 05:15:00,C_000165,AUDCAD,BUY,677.62,True,False
T_0000023,2022-09-01 05:42:00,C_001683,GBPJPY,BUY,17.44,True,False
T_0000024,2022-09-01 06:23:00,C_002073,EURUSD,BUY,45346.12,True,False
T_0000025,2022-09-01 06:38:00,C_001329,XAUUSD,BUY,1565.84,True,False
T_0000026,2022-09-01 07:04:00,C_000419,EURUSD,BUY,99213.06,False,False
T_0000027,2022-09-01 07:15:00,C_000313,US100,SELL,10475.35,False,False
T_0000028,2022-09-01 07:20:00,C_000531,USDJPY,SELL,11430.04,False,False
T_0000029,2022-09-01 07:53:00,C_000916,GBPJPY,BUY,65213.46,False,False
T_0000030,2022-09-01 08:03:00,C_000358,US100,BUY,3795.49,False,False
T_0000031,2022-09-01 08:07:00,C_000352,EURUSD,BUY,1260.42,False,False
T_0000032,2022-09-01 08:09:00,C_000369,US100,SELL,133.85,False,False
T_0000033,2022-09-01 08:10:00,C_000365,US100,BUY,1095.11,False,False
T_0000034,2022-09-01 08:19:00,C_000360,BTCUSD,SELL,1001.92,False,False
T_0000035,2022-09-01 08:21:00,C_000357,GBPJPY,SELL,216.78,False,False
T_0000036,2022-09-01 08:21:00,C_000024,USDJPY,SELL,8340.74,False,False
T_0000037,2022-09-01 08:23:00,C_000362,AUDCAD,BUY,329.95,False,False
T_0000038,2022-09-01 08:24:00,C_000366,USDJPY,BUY,3914.05,False,False
T_0000039,2022-09-01 08:25:00,C_000373,AUDCAD,BUY,2484.48,False,False
T_0000040,2022-09-01 06:38:01,C_000959,XAUUSD,SELL,1545.37,True,False
T_0000041,2022-09-01 09:02:00,C_001627,US100,SELL,2909.21,False,False
T_0000042,2022-09-01 09:03:00,C_001628,BTCUSD,SELL,1313.74,False,False
