commission_id,timestamp,client_id,partner_id,trade_id,commission_amount,currency,is_fraudulent
CM_0000001,2022-09-01 01:00:00,C_001789,P_0097,T_0000001,0.8875000000000001,Swiss Franc,False
CM_0000002,2022-09-01 01:00:00,C_000495,P_0169,T_0000002,117.21350000000001,US Dollar,False
CM_0000003,2022-09-01 01:01:00,C_001851,P_0083,T_0000003,2832.5685000000003,US Dollar,False
CM_0000004,2022-09-01 01:02:00,C_001016,P_0068,T_0000004,121.3695,Euro,False
CM_0000005,2022-09-01 01:02:00,C_001073,P_0191,T_0000005,0.9525000000000001,UK Pound,False
CM_0000006,2022-09-01 01:02:00,C_000629,P_0037,T_0000006,0.14950000000000002,Yen,False
CM_0000007,2022-09-01 01:02:00,C_001697,P_0119,T_0000007,0.7010000000000001,Swiss Franc,False
CM_0000008,2022-09-01 01:10:00,C_000735,P_0165,T_0000008,0.0055000000000000005,Rupee,False
CM_0000009,2022-09-01 01:10:00,C_002035,P_0172,T_0000009,2764.898,Euro,False
CM_0000010,2022-09-01 01:11:00,C_000613,P_0094,T_0000010,4159.435,Yen,False
CM_0000011,2022-09-01 01:13:00,C_002053,P_0048,T_0000011,582.669,US Dollar,False
CM_0000012,2022-09-01 01:15:00,C_000540,P_0045,T_0000012,438.03900000000004,US Dollar,False
CM_0000013,2022-09-01 01:16:00,C_001942,P_0001,T_0000013,835.4275,Saudi Riyal,False
CM_0000014,2022-09-01 01:22:00,C_001843,P_0022,T_0000014,0.47500000000000003,Euro,False
CM_0000015,2022-09-01 01:23:00,C_000501,P_0190,T_0000015,43.9895,US Dollar,False
CM_0000016,2022-09-01 01:26:00,C_000238,P_0054,T_0000016,238.66500000000002,US Dollar,False
CM_0000017,2022-09-01 01:29:00,C_001365,P_0128,T_0000017,0.6355000000000001,Australian Dollar,False
CM_0000018,2022-09-01 01:43:00,C_000502,P_0173,T_0000018,628.134,Swiss Franc,True
CM_0000019,2022-09-01 04:14:00,C_000817,P_0035,T_0000019,3174.3155,US Dollar,False
CM_0000020,2022-09-01 04:59:00,C_001339,P_0060,T_0000020,2.9115,Yuan,False
CM_0000021,2022-09-01 05:04:00,C_001454,P_0093,T_0000021,0.3735,US Dollar,False
CM_0000022,2022-09-01 06:15:00,C_000165,P_0106,T_0000022,33.881,Euro,False
CM_0000023,2022-09-01 06:42:00,C_001683,P_0039,T_0000023,0.8720000000000001,Swiss Franc,False
CM_0000024,2022-09-01 07:23:00,C_002073,P_0178,T_0000024,2267.306,Saudi Riyal,True
CM_0000025,2022-09-01 07:38:00,C_001329,P_0092,T_0000025,78.292,US Dollar,False
CM_0000026,2022-09-01 08:04:00,C_000419,P_0087,T_0000026,4960.653,Euro,False
CM_0000027,2022-09-01 08:15:00,C_000313,P_0173,T_0000027,523.7675,Swiss Franc,True
CM_0000028,2022-09-01 08:20:00,C_000531,P_0010,T_0000028,571.5020000000001,US Dollar,False
CM_0000029,2022-09-01 08:53:00,C_000916,P_0164,T_0000029,3260.6730000000002,US Dollar,False
CM_0000030,2022-09-01 09:03:00,C_000358,P_0124,T_0000030,189.7745,Euro,False
CM_0000031,2022-09-01 09:07:00,C_000352,P_0124,T_0000031,63.02100000000001,Euro,False
CM_0000032,2022-09-01 09:09:00,C_000369,P_0124,T_0000032,6.6925,Euro,False
CM_0000033,2022-09-01 09:10:00,C_000365,P_0124,T_0000033,54.7555,Euro,False
CM_0000034,2022-09-01 09:19:00,C_000360,P_0124,T_0000034,50.096000000000004,Euro,False
CM_0000035,2022-09-01 09:21:00,C_000357,P_0124,T_0000035,10.839,Euro,False
CM_0000036,2022-09-01 09:21:00,C_000024,P_0127,T_0000036,417.03700000000003,US Dollar,True
CM_0000037,2022-09-01 09:23:00,C_000362,P_0124,T_0000037,16.4975,Euro,False
CM_0000038,2022-09-01 09:24:00,C_000366,P_0124,T_0000038,195.70250000000001,Euro,False
CM_0000039,2022-09-01 09:25:00,C_000373,P_0124,T_0000039,124.224,Euro,False
CM_0000040,2022-09-01 09:40:00,C_000959,P_0092,T_0000040,77.2685,US Dollar,True
CM_0000041,2022-09-01 10:02:00,C_001627,P_0079,T_0000041,145.4605,US Dollar,False
CM_0000042,2022-09-01 10:03:00,C_001628,P_0079,T_0000042,65.687,US Dollar,False
CM_0000043,2022-09-01 10:08:00,C_001626,P_0079,T_0000043,218.3915,US Dollar,False
CM_0000044,2022-09-01 10:11:00,C_001623,P_0079,T_0000044,202.34550000000002,US Dollar,False
CM_0000045,2022-09-01 10:14:00,C_001624,P_0079,T_0000045,184.842,US Dollar,False
CM_0000046,2022-09-01 10:14:00,C_001625,P_0079,T_0000046,145.60999999999999,US Dollar,False
CM_0000047,2022-09-01 10:18:00,C_001621,P_0079,T_0000047,136.119,US Dollar,False
CM_0000048,2022-09-01 10:18:00,C_001622,P_0079,T_0000048,245.65800000000002,US Dollar,False
CM_0000049,2022-09-01 10:20:00,C_000953,P_0049,T_0000049,0.28950000000000004,Euro,False
CM_0000050,2022-09-01 10:31:00,C_001405,P_0092,T_0000050,383.92150000000004,US Dollar,True
CM_0000051,2022-09-01 10:31:00,C_001178,P_0168,T_0000051,0.001,Yen,False
CM_0000052,2022-09-01 10:54:00,C_000148,P_0055,T_0000052,2.166,Yuan,False
CM_0000053,2022-09-01 11:03:00,C_001121,P_0115,T_0000053,75.928,US Dollar,False
CM_0000054,2022-09-01 11:04:00,C_000027,P_0126,T_0000054,114.77850000000001,Euro,False
CM_0000055,2022-09-01 11:12:00,C_001119,P_0115,T_0000055,89.956,US Dollar,False
CM_0000056,2022-09-01 11:23:00,C_000027,P_0126,T_0000056,208.9265,Euro,False
CM_0000057,2022-09-01 11:24:00,C_001123,P_0115,T_0000057,44.6895,US Dollar,False
CM_0000058,2022-09-01 11:24:00,C_001122,P_0115,T_0000058,220.61700000000002,US Dollar,False
CM_0000059,2022-09-01 11:25:00,C_001116,P_0115,T_0000059,84.8435,US Dollar,False
CM_0000060,2022-09-01 11:28:00,C_001120,P_0115,T_0000060,70.09700000000001,US Dollar,False
CM_0000061,2022-09-01 11:29:00,C_001118,P_0115,T_0000061,189.5045,US Dollar,False
CM_0000062,2022-09-01 11:30:00,C_000756,P_0118,T_0000062,104.25200000000001,US Dollar,False
CM_0000063,2022-09-01 11:34:00,C_000839,P_0051,T_0000063,0.24900000000000003,US Dollar,False
CM_0000064,2022-09-01 11:38:00,C_000762,P_0118,T_0000064,31.856,US Dollar,False
CM_0000065,2022-09-01 11:46:00,C_000759,P_0118,T_0000065,37.063,US Dollar,False
CM_0000066,2022-09-01 11:48:00,C_000754,P_0118,T_0000066,121.501,US Dollar,False
CM_0000067,2022-09-01 11:50:00,C_000755,P_0118,T_0000067,114.26300000000002,US Dollar,False
CM_0000068,2022-09-01 11:50:00,C_000760,P_0118,T_0000068,87.8395,US Dollar,False
CM_0000069,2022-09-01 11:54:00,C_000758,P_0118,T_0000069,221.516,US Dollar,False
CM_0000070,2022-09-01 11:54:00,C_000761,P_0118,T_0000070,36.1555,US Dollar,False
CM_0000071,2022-09-01 12:00:00,C_000740,P_0170,T_0000071,1039.9305000000002,Rupee,False
CM_0000072,2022-09-01 12:00:00,C_000634,P_0037,T_0000072,21108.469,Yen,False
CM_0000073,2022-09-01 12:04:00,C_000630,P_0037,T_0000073,5789.4185,Yen,False
CM_0000074,2022-09-01 12:05:00,C_001522,P_0145,T_0000074,219.45050000000003,UK Pound,True
CM_0000075,2022-09-01 12:16:00,C_000632,P_0037,T_0000075,21596.743000000002,Yen,False
CM_0000076,2022-09-01 12:16:00,C_000633,P_0037,T_0000076,20820.208,Yen,False
CM_0000077,2022-09-01 12:17:00,C_000627,P_0037,T_0000077,3296.6925000000006,Yen,False
CM_0000078,2022-09-01 12:21:00,C_000631,P_0037,T_0000078,22418.499,Yen,False
CM_0000079,2022-09-01 12:24:00,C_000628,P_0037,T_0000079,23032.5325,Yen,False
CM_0000080,2022-09-01 12:26:00,C_000635,P_0037,T_0000080,10663.019,Yen,False
CM_0000081,2022-09-01 12:34:00,C_000050,P_0127,T_0000081,776.2080000000001,US Dollar,True
CM_0000082,2022-09-01 12:49:00,C_001181,P_0145,T_0000082,217.6895,UK Pound,True
CM_0000083,2022-09-01 13:19:00,C_000007,P_0127,T_0000083,818.373,US Dollar,True
CM_0000084,2022-09-01 14:00:00,C_001937,P_0178,T_0000084,2252.748,Saudi Riyal,False
CM_0000085,2022-09-01 14:06:00,C_000525,P_0164,T_0000085,1786.207,US Dollar,False
CM_0000086,2022-09-01 14:18:00,C_000703,P_0015,T_0000086,150.58350000000002,US Dollar,False
CM_0000087,2022-09-01 14:33:00,C_000322,P_0098,T_0000087,77.024,Euro,False
CM_0000088,2022-09-01 14:37:00,C_001644,P_0155,T_0000088,0.001,US Dollar,False
CM_0000089,2022-09-01 14:41:00,C_000315,P_0098,T_0000089,10.986,Euro,False
CM_0000090,2022-09-01 14:44:00,C_000319,P_0098,T_0000090,202.33550000000002,Euro,False
CM_0000091,2022-09-01 14:44:00,C_000321,P_0098,T_0000091,100.9,Euro,False
CM_0000092,2022-09-01 14:46:00,C_000320,P_0098,T_0000092,50.262,Euro,False
CM_0000093,2022-09-01 14:47:00,C_000318,P_0098,T_0000093,109.59800000000001,Euro,False
CM_0000094,2022-09-01 14:51:00,C_000325,P_0098,T_0000094,147.507,Euro,False
CM_0000095,2022-09-01 14:54:00,C_000323,P_0098,T_0000095,164.88350000000003,Euro,False
CM_0000096,2022-09-01 14:55:00,C_000314,P_0098,T_0000096,108.84200000000001,Euro,True
CM_0000097,2022-09-01 14:56:00,C_000324,P_0098,T_0000097,16.6825,Euro,False
CM_0000098,2022-09-01 14:58:00,C_000316,P_0098,T_0000098,67.5385,Euro,False
CM_0000099,2022-09-01 15:00:00,C_000378,P_0096,T_0000099,1.1824999999999999,US Dollar,False
CM_0000100,2022-09-01 16:10:00,C_001201,P_0184,T_0000100,1.2400000000000002,Canadian Dollar,False
CM_0000101,2022-09-01 16:25:00,C_000245,P_0173,T_0000101,665.7675,Swiss Franc,True
CM_0000102,2022-09-01 16:27:00,C_001907,P_0178,T_0000102,1514.9575000000002,Saudi Riyal,True
CM_0000103,2022-09-01 16:31:00,C_001567,P_0188,T_0000103,54.37200000000001,US Dollar,False
CM_0000104,2022-09-01 16:31:00,C_000074,P_0038,T_0000104,190.00750000000002,US Dollar,False
CM_0000105,2022-09-01 16:32:00,C_001569,P_0188,T_0000105,200.7845,US Dollar,False
CM_0000106,2022-09-01 16:32:00,C_000666,P_0173,T_0000106,657.8955000000001,Swiss Franc,True
CM_0000107,2022-09-01 16:33:00,C_001566,P_0188,T_0000107,139.696,US Dollar,False
CM_0000108,2022-09-01 16:34:00,C_000083,P_0038,T_0000108,40.041000000000004,US Dollar,False
CM_0000109,2022-09-01 16:34:00,C_000088,P_0038,T_0000109,191.6585,US Dollar,False
CM_0000110,2022-09-01 16:34:00,C_001571,P_0188,T_0000110,199.17950000000002,US Dollar,False
CM_0000111,2022-09-01 16:34:00,C_001570,P_0188,T_0000111,84.48,US Dollar,False
CM_0000112,2022-09-01 16:36:00,C_001568,P_0188,T_0000112,152.52349999999998,US Dollar,False
CM_0000113,2022-09-01 16:36:00,C_000073,P_0038,T_0000113,44.480000000000004,US Dollar,False
CM_0000114,2022-09-01 16:37:00,C_001559,P_0188,T_0000114,132.6925,US Dollar,False
CM_0000115,2022-09-01 16:37:00,C_000078,P_0038,T_0000115,17.5545,US Dollar,False
CM_0000116,2022-09-01 16:37:00,C_000011,P_0152,T_0000116,4945.066000000001,Mexican Peso,False
CM_0000117,2022-09-01 16:38:00,C_001576,P_0188,T_0000117,106.2225,US Dollar,False
CM_0000118,2022-09-01 16:39:00,C_001557,P_0188,T_0000118,24.5945,US Dollar,False
CM_0000119,2022-09-01 16:44:00,C_001574,P_0188,T_0000119,24.575000000000003,US Dollar,False
CM_0000120,2022-09-01 16:45:00,C_000076,P_0038,T_0000120,204.04500000000002,US Dollar,False
CM_0000121,2022-09-01 16:47:00,C_000090,P_0038,T_0000121,125.707,US Dollar,False
CM_0000122,2022-09-01 16:52:00,C_000069,P_0038,T_0000122,127.61500000000001,US Dollar,False
CM_0000123,2022-09-01 16:53:00,C_001575,P_0188,T_0000123,184.679,US Dollar,False
