trade_id,timestamp,client_id,partner_id,instrument,direction,trade_volume,currency,is_fraudulent,is_opposite_trade,is_bonus_abuse
T_0000001,2022-09-01 00:00:00,C_001789,P_0097,AUDCAD,SELL,17.75,Swiss Franc,False,False,False
T_0000002,2022-09-01 00:00:00,C_000495,P_0169,USDJPY,BUY,2344.27,US Dollar,False,False,False
T_0000003,2022-09-01 00:01:00,C_001851,P_0083,BTCUSD,BUY,56651.37,US Dollar,True,True,False
T_0000004,2022-09-01 00:02:00,C_001016,P_0068,USDJPY,SELL,2427.39,Euro,False,False,False
T_0000005,2022-09-01 00:02:00,C_001073,P_0191,AUDCAD,BUY,19.05,UK Pound,False,False,False
T_0000006,2022-09-01 00:02:00,C_000629,P_0037,US100,BUY,2.99,Yen,False,False,False
T_0000007,2022-09-01 00:02:00,C_001697,P_0119,AUDCAD,BUY,14.02,Swiss Franc,False,False,False
T_0000008,2022-09-01 00:10:00,C_000735,P_0165,GBPJPY,BUY,0.11,Rupee,False,False,False
T_0000009,2022-09-01 00:10:00,C_002035,P_0172,BTCUSD,SELL,55297.96,Euro,False,False,False
T_0000010,2022-09-01 00:11:00,C_000613,P_0094,US100,SELL,83188.7,Yen,False,False,False
T_0000011,2022-09-01 00:13:00,C_002053,P_0048,GBPJPY,BUY,11653.38,US Dollar,False,False,False
T_0000012,2022-09-01 00:15:00,C_000540,P_0045,EURUSD,BUY,8760.78,US Dollar,False,False,False
T_0000013,2022-09-01 00:16:00,C_001942,P_0001,USDJPY,SELL,16708.55,Saudi Riyal,False,False,False
T_0000014,2022-09-01 00:22:00,C_001843,P_0022,GBPJPY,BUY,9.5,Euro,False,False,False
T_0000015,2022-09-01 00:23:00,C_000501,P_0190,US100,BUY,879.79,US Dollar,False,False,False
T_0000016,2022-09-01 00:26:00,C_000238,P_0054,XAUUSD,BUY,4773.3,US Dollar,False,False,False
T_0000017,2022-09-01 00:29:00,C_001365,P_0128,XAUUSD,BUY,12.71,Australian Dollar,False,False,False
T_0000018,2022-09-01 00:43:00,C_000502,P_0173,GBPJPY,SELL,12562.68,Swiss Franc,True,False,False
T_0000019,2022-09-01 03:14:00,C_000817,P_0035,AUDCAD,BUY,63486.31,US Dollar,False,False,False
T_0000020,2022-09-01 03:59:00,C_001339,P_0060,US100,BUY,58.23,Yuan,False,False,False
T_0000021,2022-09-01 04:04:00,C_001454,P_0093,US100,SELL,7.47,US Dollar,False,False,False
T_0000022,2022-09-01 05:15:00,C_000165,P_0106,AUDCAD,BUY,677.62,Euro,True,True,False
T_0000023,2022-09-01 05:42:00,C_001683,P_0039,GBPJPY,BUY,17.44,Swiss Franc,True,True,False
T_0000024,2022-09-01 06:23:00,C_002073,P_0178,EURUSD,BUY,45346.12,Saudi Riyal,True,True,False
T_0000025,2022-09-01 06:38:00,C_001329,P_0092,XAUUSD,BUY,1565.84,US Dollar,True,True,False
T_0000026,2022-09-01 07:04:00,C_000419,P_0087,EURUSD,BUY,99213.06,Euro,False,False,False
T_0000027,2022-09-01 07:15:00,C_000313,P_0173,US100,SELL,10475.35,Swiss Franc,True,False,False
T_0000028,2022-09-01 07:20:00,C_000531,P_0010,USDJPY,SELL,11430.04,US Dollar,False,False,False
T_0000029,2022-09-01 07:53:00,C_000916,P_0164,GBPJPY,BUY,65213.46,US Dollar,False,False,False
T_0000030,2022-09-01 08:03:00,C_000358,P_0124,US100,BUY,3795.49,Euro,False,False,False
T_0000031,2022-09-01 08:07:00,C_000352,P_0124,EURUSD,BUY,1260.42,Euro,False,False,False
T_0000032,2022-09-01 08:09:00,C_000369,P_0124,US100,SELL,133.85,Euro,False,False,False
T_0000033,2022-09-01 08:10:00,C_000365,P_0124,US100,BUY,1095.11,Euro,False,False,False
T_0000034,2022-09-01 08:19:00,C_000360,P_0124,BTCUSD,SELL,1001.92,Euro,False,False,False
T_0000035,2022-09-01 08:21:00,C_000357,P_0124,GBPJPY,SELL,216.78,Euro,False,False,False
T_0000036,2022-09-01 08:21:00,C_000024,P_0127,USDJPY,SELL,8340.74,US Dollar,True,False,False
T_0000037,2022-09-01 08:23:00,C_000362,P_0124,AUDCAD,BUY,329.95,Euro,False,False,False
T_0000038,2022-09-01 08:24:00,C_000366,P_0124,USDJPY,BUY,3914.05,Euro,False,False,False
T_0000039,2022-09-01 08:25:00,C_000373,P_0124,AUDCAD,BUY,2484.48,Euro,False,False,False
T_0000040,2022-09-01 06:38:01,C_000959,P_0092,XAUUSD,SELL,1545.37,US Dollar,True,True,False
T_0000041,2022-09-01 09:02:00,C_001627,P_0079,US100,SELL,2909.21,US Dollar,False,False,False
T_0000042,2022-09-01 09:03:00,C_001628,P_0079,BTCUSD,SELL,1313.74,US Dollar,False,False,False
T_0000043,2022-09-01 09:08:00,C_001626,P_0079,GBPJPY,BUY,4367.83,US Dollar,False,False,False
T_0000044,2022-09-01 09:11:00,C_001623,P_0079,US100,BUY,4046.91,US Dollar,False,False,False
T_0000045,2022-09-01 09:14:00,C_001624,P_0079,USDJPY,SELL,3696.84,US Dollar,False,False,False
T_0000046,2022-09-01 09:14:00,C_001625,P_0079,AUDCAD,SELL,2912.2,US Dollar,False,False,False
T_0000047,2022-09-01 09:18:00,C_001621,P_0079,BTCUSD,SELL,2722.38,US Dollar,False,False,False
T_0000048,2022-09-01 09:18:00,C_001622,P_0079,AUDCAD,SELL,4913.16,US Dollar,False,False,False
T_0000049,2022-09-01 09:20:00,C_000953,P_0049,GBPJPY,BUY,5.79,Euro,False,False,False
T_0000050,2022-09-01 09:31:00,C_001405,P_0092,GBPJPY,BUY,7678.43,US Dollar,True,True,False
T_0000051,2022-09-01 09:31:00,C_001178,P_0168,BTCUSD,BUY,0.02,Yen,False,False,False
T_0000052,2022-09-01 09:54:00,C_000148,P_0055,USDJPY,SELL,43.32,Yuan,False,False,False
T_0000053,2022-09-01 10:03:00,C_001121,P_0115,US100,SELL,1518.56,US Dollar,False,False,False
T_0000054,2022-09-01 10:04:00,C_000027,P_0126,EURUSD,BUY,2295.57,Euro,False,False,False
T_0000055,2022-09-01 10:12:00,C_001119,P_0115,US100,SELL,1799.12,US Dollar,False,False,False
T_0000056,2022-09-01 10:23:00,C_000027,P_0126,USDJPY,SELL,4178.53,Euro,False,False,False
T_0000057,2022-09-01 10:24:00,C_001123,P_0115,BTCUSD,SELL,893.79,US Dollar,False,False,False
T_0000058,2022-09-01 10:24:00,C_001122,P_0115,US100,SELL,4412.34,US Dollar,False,False,False
T_0000059,2022-09-01 10:25:00,C_001116,P_0115,EURUSD,BUY,1696.87,US Dollar,False,False,False
T_0000060,2022-09-01 10:28:00,C_001120,P_0115,AUDCAD,BUY,1401.94,US Dollar,False,False,False
T_0000061,2022-09-01 10:29:00,C_001118,P_0115,US100,SELL,3790.09,US Dollar,False,False,False
T_0000062,2022-09-01 10:30:00,C_000756,P_0118,AUDCAD,SELL,2085.04,US Dollar,False,False,False
T_0000063,2022-09-01 10:34:00,C_000839,P_0051,USDJPY,BUY,4.98,US Dollar,False,False,False
T_0000064,2022-09-01 10:38:00,C_000762,P_0118,BTCUSD,BUY,637.12,US Dollar,False,False,False
T_0000065,2022-09-01 10:46:00,C_000759,P_0118,AUDCAD,SELL,741.26,US Dollar,False,False,False
T_0000066,2022-09-01 10:48:00,C_000754,P_0118,EURUSD,SELL,2430.02,US Dollar,False,False,False
T_0000067,2022-09-01 10:50:00,C_000755,P_0118,XAUUSD,BUY,2285.26,US Dollar,False,False,False
T_0000068,2022-09-01 10:50:00,C_000760,P_0118,EURUSD,SELL,1756.79,US Dollar,False,False,False
T_0000069,2022-09-01 10:54:00,C_000758,P_0118,GBPJPY,BUY,4430.32,US Dollar,False,False,False
T_0000070,2022-09-01 10:54:00,C_000761,P_0118,USDJPY,BUY,723.11,US Dollar,False,False,False
T_0000071,2022-09-01 11:00:00,C_000740,P_0170,AUDCAD,BUY,20798.61,Rupee,True,True,False
T_0000072,2022-09-01 11:00:00,C_000634,P_0037,GBPJPY,BUY,422169.38,Yen,False,False,False
T_0000073,2022-09-01 11:04:00,C_000630,P_0037,AUDCAD,SELL,115788.37,Yen,False,False,False
T_0000074,2022-09-01 11:05:00,C_001522,P_0145,GBPJPY,BUY,4389.01,UK Pound,True,True,False
T_0000075,2022-09-01 11:16:00,C_000632,P_0037,US100,SELL,431934.86,Yen,False,False,False
